,Date,Price,Open,High,Low,Volume,Chg%
0,"Mar 17, 2023",3179.3,3150.5,3221.4,3144.0,6.74M,-0.18%
1,"Mar 16, 2023",3185.0,3208.0,3219.8,3172.0,1.90M,-0.43%
2,"Mar 15, 2023",3198.9,3250.0,3260.35,3192.0,1.78M,-0.50%
3,"Mar 14, 2023",3214.95,3280.0,3304.4,3209.4,2.67M,-2.04%
4,"Mar 13, 2023",3281.95,3333.0,3369.8,3272.0,1.90M,-1.47%
5,"Mar 10, 2023",3331.0,3312.9,3337.25,3290.0,1.02M,-0.18%
6,"Mar 09, 2023",3336.85,3385.0,3385.0,3330.85,1.65M,-1.58%
7,"Mar 08, 2023",3390.4,3364.0,3396.0,3330.85,1.84M,0.55%
8,"Mar 06, 2023",3371.85,3361.9,3404.95,3359.0,1.33M,0.89%
9,"Mar 03, 2023",3342.15,3354.0,3358.0,3331.1,1.04M,0.62%
10,"Mar 02, 2023",3321.45,3361.0,3369.9,3318.0,1.56M,-1.90%
11,"Mar 01, 2023",3385.7,3323.0,3389.0,3315.0,1.67M,2.20%
12,"Feb 28, 2023",3312.85,3328.5,3392.0,3299.9,4.12M,-0.57%
13,"Feb 27, 2023",3331.85,3390.0,3390.0,3316.0,1.13M,-2.02%
14,"Feb 24, 2023",3400.45,3422.5,3433.95,3382.3,977.59K,-0.39%
15,"Feb 23, 2023",3413.8,3421.0,3452.4,3408.0,1.44M,0.36%
16,"Feb 22, 2023",3401.55,3414.95,3447.0,3395.0,1.22M,-1.43%
17,"Feb 21, 2023",3451.0,3494.0,3508.9,3444.75,1.14M,-1.04%
18,"Feb 20, 2023",3487.3,3502.0,3522.0,3475.05,1.30M,-0.40%
19,"Feb 17, 2023",3501.15,3526.15,3538.9,3490.0,1.06M,-1.60%
20,"Feb 16, 2023",3558.05,3527.2,3575.0,3527.0,1.62M,1.06%
21,"Feb 15, 2023",3520.65,3487.0,3526.0,3460.15,1.43M,0.59%
22,"Feb 14, 2023",3500.1,3505.0,3524.85,3495.0,1.58M,0.51%
23,"Feb 13, 2023",3482.4,3549.0,3549.0,3473.4,1.09M,-1.56%
