,Date,Price,Open,High,Low,Volume,Chg%
0,"Mar 17, 2023",419.0,419.0,423.45,414.55,8.66M,0.79%
1,"Mar 16, 2023",415.7,413.3,418.5,405.0,11.85M,1.06%
2,"Mar 15, 2023",411.35,422.0,425.0,410.1,7.68M,-1.27%
3,"Mar 14, 2023",416.65,422.85,424.2,413.4,9.19M,-1.36%
4,"Mar 13, 2023",422.4,436.1,437.0,419.1,8.78M,-3.09%
5,"Mar 10, 2023",435.85,433.0,437.8,430.8,10.42M,0.84%
6,"Mar 09, 2023",432.2,439.1,442.05,431.3,5.70M,-1.62%
7,"Mar 08, 2023",439.3,439.0,441.25,436.1,7.85M,-0.18%
8,"Mar 06, 2023",440.1,430.95,441.45,430.0,11.31M,2.83%
9,"Mar 03, 2023",428.0,422.6,430.5,421.95,8.03M,1.80%
10,"Mar 02, 2023",420.45,426.0,426.25,419.55,5.66M,-1.30%
11,"Mar 01, 2023",426.0,421.5,428.0,421.5,7.60M,1.26%
12,"Feb 28, 2023",420.7,419.0,424.8,419.0,9.65M,0.66%
13,"Feb 27, 2023",417.95,427.75,428.05,413.05,10.44M,-2.29%
14,"Feb 24, 2023",427.75,435.4,436.7,427.0,7.90M,-1.26%
15,"Feb 23, 2023",433.2,428.65,436.45,427.2,9.28M,0.87%
16,"Feb 22, 2023",429.45,435.3,435.85,428.25,7.21M,-1.62%
17,"Feb 21, 2023",436.5,445.2,445.2,435.25,8.96M,-1.47%
18,"Feb 20, 2023",443.0,441.8,445.3,436.25,9.72M,0.70%
19,"Feb 17, 2023",439.9,436.0,442.45,436.0,6.96M,-0.38%
20,"Feb 16, 2023",441.6,445.0,448.25,440.5,7.67M,-0.57%
21,"Feb 15, 2023",444.15,438.5,444.9,438.15,9.86M,0.82%
22,"Feb 14, 2023",440.55,442.0,444.3,434.4,8.57M,-0.11%
23,"Feb 13, 2023",441.05,445.5,446.9,438.9,8.33M,-1.08%
24,"Feb 10, 2023",445.85,437.95,447.8,431.2,14.80M,2.08%
25,"Feb 09, 2023",436.75,440.0,440.7,433.55,7.35M,-0.76%
26,"Feb 08, 2023",440.1,435.45,441.0,431.55,8.67M,1.07%
27,"Feb 07, 2023",435.45,441.7,443.4,432.9,9.02M,-1.48%
28,"Feb 06, 2023",442.0,444.45,447.0,439.55,6.80M,-0.77%
29,"Feb 03, 2023",445.45,447.0,450.8,442.35,13.07M,0.15%
30,"Feb 02, 2023",444.8,446.75,449.2,440.7,11.34M,-0.41%
31,"Feb 01, 2023",446.65,456.8,461.5,437.65,23.80M,-1.21%
32,"Jan 31, 2023",452.1,443.7,454.8,440.9,25.15M,1.90%
33,"Jan 30, 2023",443.65,445.6,450.0,437.65,18.32M,-0.44%
34,"Jan 27, 2023",445.6,438.0,453.4,435.15,63.36M,6.34%
35,"Jan 25, 2023 E",419.05,423.75,427.25,417.7,22.98M,-0.73%
36,"Jan 24, 2023",422.15,410.0,424.0,410.0,30.20M,3.37%
37,"Jan 23, 2023",408.4,407.0,410.95,405.0,13.11M,1.30%
38,"Jan 20, 2023",403.15,404.0,412.5,401.2,23.91M,0.60%
39,"Jan 19, 2023",400.75,406.5,407.8,400.1,13.13M,-1.87%
40,"Jan 18, 2023",408.4,415.9,415.95,407.45,13.31M,-1.66%
41,"Jan 17, 2023",415.3,413.0,419.45,412.5,12.34M,0.56%
42,"Jan 16, 2023",413.0,413.5,414.9,407.6,11.46M,0.36%
43,"Jan 13, 2023",411.5,413.0,416.35,408.0,10.45M,-0.18%
44,"Jan 12, 2023",412.25,420.3,420.5,410.05,12.48M,-1.42%
45,"Jan 11, 2023",418.2,415.75,420.0,413.55,22.22M,1.28%
46,"Jan 10, 2023",412.9,400.0,417.75,400.0,54.02M,6.02%
47,"Jan 09, 2023",389.45,386.35,392.7,385.0,14.69M,1.95%
48,"Jan 06, 2023",382.0,386.1,388.4,381.0,8.72M,-1.27%
49,"Jan 05, 2023",386.9,387.9,388.75,382.5,10.44M,0.34%
50,"Jan 04, 2023",385.6,394.8,394.8,385.0,16.12M,-2.11%
51,"Jan 03, 2023",393.9,396.0,398.35,393.0,9.43M,-0.23%
52,"Jan 02, 2023",394.8,392.5,396.0,391.0,10.50M,1.77%
53,"Dec 30, 2022",387.95,391.0,392.2,387.0,9.20M,0.53%
