Date,High,Chg%,Price,Symbol,Open,Volume,Low
2016-03-21,222.89,0.0206,219.74,itc,216.62,16160000,216.29
2016-03-22,219.31,-0.0250999999999999,214.23,itc,217.78,19050000,213.64
2016-03-23,215.53,0.0034,214.96,itc,215.46,15420000,212.38
2016-03-28,218.64,-0.0055,213.77,itc,216.79,16440000,212.34
2016-03-29,216.82,-0.0076,212.15,itc,212.91,18010000,211.48
2016-03-30,218.28,0.023,217.02,itc,212.54,13900000,212.54
2016-03-31,220.43,0.0028,217.62,itc,215.99,27470000,215.39
2016-04-01,223.28,0.0237999999999999,222.79,itc,216.19,14300000,215.79
2016-04-04,220.76,-0.0159,219.24,itc,216.79,13680000,216.16
2016-04-05,219.01,-0.0129,216.42,itc,217.52,8630000,214.93
2016-04-06,218.05,-0.0017,216.06,itc,216.69,6640000,215.46
2016-04-07,216.79,-0.0197999999999999,211.78,itc,216.79,10030000,211.48
2016-04-08,213.77,0.0055,212.94,itc,211.81,4800000,211.48
2016-04-11,217.65,0.0187999999999999,216.95,itc,213.47,13830000,210.16
2016-04-12,215.89,-0.0148,213.74,itc,215.46,5960000,212.81
2016-04-13,220.57,0.0274,219.6,itc,215.46,11940000,215.13
2016-04-18,224.31,0.0126,222.36,itc,222.09,14200000,219.47
2016-04-20,224.28,0.0003,222.42,itc,222.32,9000000,220.5
2016-04-21,223.08,-0.0165,218.74,itc,222.49,6940000,217.18
2016-04-22,219.54,-0.0126,215.99,itc,216.09,6270000,215.1
2016-04-25,215.79,-0.0149,212.78,itc,213.01,6090000,212.41
2016-04-26,217.68,0.0200999999999999,217.05,itc,207.64,14470000,207.17
2016-04-27,221.76,0.0187999999999999,221.13,itc,216.16,9320000,216.16
2016-04-28,220.1,-0.0319,214.07,itc,218.78,19470000,213.17
2016-04-29,216.19,0.0064,215.43,itc,214.23,10330000,212.21
2016-05-02,214.8,-0.0116999999999999,212.91,itc,214.3,3260000,211.75
2016-05-03,214.43,-0.0159,209.53,itc,213.21,10710000,208.17
2016-05-04,211.81,-0.0108,207.27,itc,208.83,6170000,205.62
2016-05-05,212.34,0.016,210.59,itc,206.84,6330000,206.58
2016-05-06,211.75,0.0001,210.62,itc,207.47,15580000,202.86
2016-05-09,216.06,0.0224,215.33,itc,212.15,8530000,211.81
2016-05-10,216.12,-0.004,214.47,itc,215.46,8250000,213.27
2016-05-11,213.31,-0.017,210.82,itc,212.15,10740000,209.56
2016-05-12,212.88,0.0006,210.95,itc,211.52,5570000,208.9
2016-05-13,213.27,0.0037,211.72,itc,210.82,9440000,208.93
2016-05-16,218.78,0.0315,218.38,itc,211.02,12970000,210.22
2016-05-17,221.06,0.0033,219.11,itc,218.78,11980000,217.91
2016-05-18,221.96,0.0067,220.57,itc,217.18,7620000,215.99
2016-05-19,221.43,-0.0236,215.36,itc,221.43,8590000,213.8
2016-05-20,224.54,0.0169,219.01,itc,216.62,20260000,215.33
2016-05-23,235.02,0.05,229.95,itc,231.8,52820000,225.07
2016-05-24,233.23,0.0034,230.74,itc,230.71,15670000,229.81
2016-05-25,236.97,0.023,236.05,itc,232.3,9960000,231.94
2016-05-26,241.32,0.018,240.29,itc,236.01,12590000,234.42
2016-05-27,241.25,-0.0087,238.2,itc,240.62,10520000,236.15
2016-05-30,239.0,-0.0022,237.67,itc,235.6,7360000,235.2
2016-05-31,239.63,-0.0153,234.03,itc,237.33,14500000,232.83
2016-06-01,241.47,0.0295,240.93,itc,235.33,11950000,235.33
2016-06-02,240.33,-0.0093999999999999,238.67,itc,239.9,13200000,235.47
2016-06-03,239.9,-0.0115,235.93,itc,239.9,7110000,235.03
2016-06-06,237.97,0.0048,237.07,itc,235.8,7410000,234.23
2016-06-07,242.5,0.0200999999999999,241.83,itc,238.0,10600000,238.0
2016-06-08,243.33,0.0002,241.87,itc,242.67,7330000,240.47
2016-06-09,241.97,-0.024,236.07,itc,241.73,11620000,235.07
2016-06-10,239.1,-0.0096,233.8,itc,235.37,10750000,233.37
2016-06-13,235.7,-0.0023,233.27,itc,232.4,11730000,230.43
2016-06-14,236.0,0.0097,235.53,itc,233.93,7560000,231.87
2016-06-15,240.0,0.0177,239.7,itc,236.0,9520000,235.83
2016-06-16,239.6,-0.0129,236.6,itc,239.6,8720000,234.07
2016-06-17,240.47,0.0139,239.9,itc,236.9,8980000,236.9
2016-06-20,240.67,-0.005,238.7,itc,240.33,8690000,236.73
2016-06-21,239.8,0.0013,239.0,itc,238.33,6660000,237.0
2016-06-22,239.43,-0.0106,236.47,itc,237.3,8910000,235.03
2016-06-23,241.0,0.0156,240.17,itc,236.67,8660000,236.67
2016-06-24,240.07,-0.0171,236.07,itc,235.03,12050000,233.47
