[ 2023-03-30 15:54:03,998 ] 14 root - INFO - Reading the raw data from directory
[ 2023-03-30 15:54:04,071 ] 21 root - INFO - Preparing list of dataframes
[ 2023-03-30 15:54:04,071 ] 14 root - INFO - Function to drop 'Unnamed' column
[ 2023-03-30 15:54:04,073 ] 42 root - INFO - Converting "Volume" column values to numerical
[ 2023-03-30 15:54:04,078 ] 58 root - INFO - Converting 'Chg%' column the values to numerical
[ 2023-03-30 15:54:04,080 ] 63 root - INFO - Converting datatype of 'Date' column
[ 2023-03-30 15:54:04,080 ] 64 root - INFO - Removing the extra characters from Date column
[ 2023-03-30 15:54:04,309 ] 70 root - INFO - Setting 'Date' as index
[ 2023-03-30 15:54:04,309 ] 14 root - INFO - Function to drop 'Unnamed' column
[ 2023-03-30 15:54:04,311 ] 42 root - INFO - Converting "Volume" column values to numerical
[ 2023-03-30 15:54:04,314 ] 58 root - INFO - Converting 'Chg%' column the values to numerical
[ 2023-03-30 15:54:04,317 ] 63 root - INFO - Converting datatype of 'Date' column
[ 2023-03-30 15:54:04,317 ] 64 root - INFO - Removing the extra characters from Date column
[ 2023-03-30 15:54:04,530 ] 70 root - INFO - Setting 'Date' as index
[ 2023-03-30 15:54:04,531 ] 14 root - INFO - Function to drop 'Unnamed' column
[ 2023-03-30 15:54:04,532 ] 42 root - INFO - Converting "Volume" column values to numerical
[ 2023-03-30 15:54:04,534 ] 58 root - INFO - Converting 'Chg%' column the values to numerical
[ 2023-03-30 15:54:04,536 ] 63 root - INFO - Converting datatype of 'Date' column
[ 2023-03-30 15:54:04,536 ] 64 root - INFO - Removing the extra characters from Date column
[ 2023-03-30 15:54:04,758 ] 70 root - INFO - Setting 'Date' as index
[ 2023-03-30 15:54:04,759 ] 14 root - INFO - Function to drop 'Unnamed' column
[ 2023-03-30 15:54:04,760 ] 42 root - INFO - Converting "Volume" column values to numerical
[ 2023-03-30 15:54:04,762 ] 58 root - INFO - Converting 'Chg%' column the values to numerical
[ 2023-03-30 15:54:04,764 ] 63 root - INFO - Converting datatype of 'Date' column
[ 2023-03-30 15:54:04,764 ] 64 root - INFO - Removing the extra characters from Date column
[ 2023-03-30 15:54:05,036 ] 70 root - INFO - Setting 'Date' as index
[ 2023-03-30 15:54:05,037 ] 14 root - INFO - Function to drop 'Unnamed' column
[ 2023-03-30 15:54:05,038 ] 42 root - INFO - Converting "Volume" column values to numerical
[ 2023-03-30 15:54:05,040 ] 58 root - INFO - Converting 'Chg%' column the values to numerical
[ 2023-03-30 15:54:05,042 ] 63 root - INFO - Converting datatype of 'Date' column
[ 2023-03-30 15:54:05,042 ] 64 root - INFO - Removing the extra characters from Date column
[ 2023-03-30 15:54:05,250 ] 70 root - INFO - Setting 'Date' as index
