Date,Price,Open,High,Low,Volume,Chg%
2016-03-21,1367.47,1345.5,1374.5,1345.5,198830,0.0183
2016-03-22,1375.75,1368.0,1389.95,1362.5,241610,0.0060999999999999995
2016-03-23,1362.65,1377.58,1381.05,1352.65,216970,-0.0095
2016-03-28,1312.8,1372.78,1380.0,1300.62,564340,-0.0366
2016-03-29,1291.58,1307.5,1312.5,1259.53,391990,-0.016200000000000003
2016-03-30,1319.25,1309.75,1324.5,1295.08,523350,0.021400000000000002
2016-03-31,1343.25,1312.7,1352.45,1307.75,692930,0.0182
2016-04-01,1339.53,1330.75,1358.95,1330.75,353070,-0.0028000000000000004
2016-04-04,1329.6,1350.0,1351.78,1325.0,368800,-0.0074
2016-04-05,1320.67,1325.0,1328.12,1303.58,428200,-0.0067
2016-04-06,1353.6,1320.67,1361.97,1320.67,967300,0.024900000000000002
2016-04-07,1350.58,1355.05,1360.53,1339.55,204210,-0.0022
2016-04-08,1343.4,1345.5,1357.75,1340.55,276710,-0.0053
2016-04-11,1328.47,1348.4,1353.83,1322.5,430040,-0.0111
2016-04-12,1352.88,1342.5,1369.2,1325.1,705890,0.0184
2016-04-13,1380.55,1354.3,1392.5,1354.3,520830,0.020499999999999997
2016-04-18,1425.33,1385.25,1428.0,1385.25,617240,0.032400000000000005
2016-04-20,1422.65,1422.5,1443.92,1413.75,626890,-0.0019
2016-04-21,1393.92,1423.85,1435.0,1390.0,355370,-0.0202
2016-04-22,1411.3,1396.5,1415.0,1394.38,289740,0.0125
2016-04-25,1408.55,1406.5,1418.5,1400.0,342510,-0.0019
2016-04-26,1418.65,1410.03,1424.0,1398.1,271580,0.0072
2016-04-27,1430.7,1415.3,1437.97,1415.3,334870,0.0085
2016-04-28,1412.78,1437.5,1459.0,1406.0,808750,-0.0125
2016-04-29,1431.3,1413.5,1448.0,1413.0,282590,0.0131
2016-05-02,1429.2,1428.0,1435.97,1417.5,148640,-0.0015
2016-05-03,1423.55,1430.7,1449.95,1417.5,439890,-0.004
2016-05-04,1408.88,1423.5,1428.95,1401.97,228920,-0.0103
2016-05-05,1410.72,1408.5,1426.0,1405.05,113140,0.0013
2016-05-06,1408.65,1414.0,1423.5,1406.0,127560,-0.0015
2016-05-09,1406.88,1419.5,1419.5,1400.0,560450,-0.0013
2016-05-10,1410.45,1407.55,1431.5,1407.55,231400,0.0025
2016-05-11,1423.72,1405.0,1429.45,1395.47,196200,0.009399999999999999
2016-05-12,1468.22,1433.5,1475.0,1420.0,519270,0.0313
2016-05-13,1477.0,1467.5,1488.5,1462.8,539450,0.006
2016-05-16,1467.78,1482.0,1489.47,1451.6,292500,-0.0062
2016-05-17,1502.83,1471.1,1508.95,1471.1,471340,0.0239
2016-05-18,1485.8,1501.97,1502.0,1484.0,362640,-0.0113
2016-05-19,1497.97,1489.97,1507.5,1488.05,313490,0.008199999999999999
2016-05-20,1465.35,1504.95,1517.53,1455.0,404470,-0.0218
2016-05-23,1341.25,1425.0,1425.0,1330.5,1520000,-0.08470000000000001
2016-05-24,1327.03,1341.25,1375.0,1305.0,1130000,-0.0106
2016-05-25,1375.72,1330.35,1382.5,1328.75,708390,0.036699999999999997
2016-05-26,1372.2,1378.4,1397.5,1364.03,719340,-0.0026
2016-05-27,1359.65,1379.5,1380.92,1350.55,1030000,-0.0091
2016-05-30,1373.03,1360.0,1379.0,1360.0,221880,0.0098
2016-05-31,1353.1,1374.0,1379.5,1345.47,548770,-0.014499999999999999
2016-06-01,1382.55,1370.0,1396.2,1362.6,961920,0.0218
2016-06-02,1399.75,1384.97,1411.15,1380.28,372480,0.0124
2016-06-03,1381.67,1400.0,1402.3,1378.03,333630,-0.0129
2016-06-06,1386.92,1382.5,1394.25,1367.58,204050,0.0038
2016-06-07,1397.58,1388.5,1405.0,1388.5,803050,0.0077
2016-06-08,1385.2,1390.08,1403.5,1380.03,260920,-0.0089
2016-06-09,1380.62,1385.0,1397.75,1376.03,394970,-0.0033
2016-06-10,1364.62,1387.0,1387.0,1362.03,184010,-0.0116
2016-06-13,1339.1,1358.0,1358.0,1330.0,222100,-0.0187
