Date,Price,Open,High,Low,Volume,Chg%,Symbol
2023-03-17,375.55,385.0,385.0,369.65,48900000,-0.0155,itc
2023-03-16,381.45,380.6,382.35,376.85,15710000,0.0054,itc
2023-03-15,379.4,381.0,384.3,378.0,8420000,-0.0008,itc
2023-03-14,379.7,385.7,386.45,377.2,10230000,-0.0103,itc
2023-03-13,383.65,389.2,390.9,382.5,8790000,-0.011200000000000002,itc
2023-03-10,388.0,386.95,390.2,383.5,8359999,0.0013,itc
2023-03-09,387.5,392.1,393.6,385.65,9630000,-0.0125,itc
2023-03-08,392.4,388.0,393.15,385.1,8920000,0.0109,itc
2023-03-06,388.15,385.9,392.5,385.25,10710000,0.0083,itc
2023-03-03,384.95,377.0,385.4,376.1,8180000,0.025,itc
2023-03-02,375.55,379.5,379.75,374.7,5020000,-0.0083,itc
2023-03-01,378.7,374.25,380.4,373.6,7770000,0.0053,itc
2023-02-28,376.7,382.5,384.25,375.0,16370000,-0.0144,itc
2023-02-27,382.2,385.1,386.8,378.1,8140000,-0.0075,itc
2023-02-24,385.1,389.0,389.0,381.0,12910000,-0.0064,itc
2023-02-23,387.6,384.45,394.0,383.1,18830000,0.0098,itc
2023-02-22,383.85,382.0,384.9,380.0,8960000,0.0042,itc
2023-02-21,382.25,385.0,385.9,381.7,8260000,-0.004699999999999999,itc
2023-02-20,384.05,384.7,387.5,381.3,7800000,0.0017000000000000001,itc
2023-02-17,383.4,381.05,384.55,379.25,7670000,0.0022,itc
2023-02-16,382.55,382.0,385.25,381.0,9780000,0.0009,itc
2023-02-15,382.2,381.75,382.85,378.55,12210000,-0.011000000000000001,itc
2023-02-14,386.45,375.0,387.65,373.75,29130000,0.0327,itc
2023-02-13,374.2,373.0,375.15,370.0,9900000,0.0077,itc
2023-02-10,371.35,372.2,376.95,370.3,10280000,-0.0077,itc
2023-02-09,374.25,374.0,380.0,372.15,11860000,-0.0034999999999999996,itc
2023-02-08,375.55,374.75,377.3,371.55,10420000,0.0062,itc
2023-02-07,373.25,383.9,383.9,368.45,20640000,-0.0265,itc
2023-02-06,383.4,382.5,388.2,379.6,25790000,0.0072,itc
2023-02-03,380.65,381.9,382.25,372.0,22300000,0.0054,itc
2023-02-02,378.6,361.6,384.7,360.4,55750000,0.047599999999999996,itc
2023-02-01,361.4,353.0,365.7,329.1,64519999,0.025699999999999997,itc
2023-01-31,352.35,346.0,355.0,341.05,17130000,0.0219,itc
2023-01-30,344.8,346.9,351.75,341.85,14090000,-0.0034999999999999996,itc
2023-01-27,346.0,341.8,348.85,341.5,21040000,0.0199,itc
2023-01-25,339.25,338.9,341.0,335.25,12500000,0.0009,itc
2023-01-24,338.95,337.8,340.75,337.6,12300000,0.0036,itc
2023-01-23,337.75,336.0,338.15,333.05,7120000,0.009399999999999999,itc
2023-01-20,334.6,332.0,335.2,329.25,13100000,0.0074,itc
2023-01-19,332.15,334.0,335.65,331.65,8350000,-0.0075,itc
2023-01-18,334.65,334.0,336.55,332.4,12560000,0.0072,itc
2023-01-17,332.25,330.2,333.5,329.1,13710000,0.0062,itc
2023-01-16,330.2,330.35,332.2,327.55,8250000,0.0044,itc
2023-01-13,328.75,329.85,332.25,326.4,14410000,-0.0033,itc
2023-01-12,329.85,333.4,333.6,328.1,6640000,-0.0059,itc
2023-01-11,331.8,335.1,335.1,331.3,4580000,-0.0048,itc
2023-01-10,333.4,337.9,338.4,332.55,6950000,-0.0138,itc
