Date,Price,Open,High,Low,Volume,Chg%
2016-03-21,513.78,509.15,515.86,506.57,5860000,0.0098
2016-03-22,519.01,513.63,521.18,512.96,7080000,0.0102
2016-03-23,509.77,518.53,518.53,506.4,7760000,-0.0178
2016-03-28,505.41,510.16,511.01,503.06,8340000,-0.0086
2016-03-29,513.26,507.09,516.11,505.31,7320000,0.0155
2016-03-30,518.61,516.45,520.94,516.45,6670000,0.0104
2016-03-31,517.69,515.61,523.04,511.5,14230000,-0.0018
2016-04-01,512.37,514.67,518.24,507.69,5710000,-0.0103
2016-04-04,512.67,515.12,516.21,507.84,3980000,0.0006
2016-04-05,508.65,510.83,516.31,506.3,4730000,-0.0078000000000000005
2016-04-06,512.02,511.2,513.48,506.5,3230000,0.0066
2016-04-07,513.76,512.59,519.08,506.25,4059999,0.0034000000000000002
2016-04-08,513.31,513.09,522.27,510.76,6190000,-0.0009
2016-04-11,515.27,513.63,517.84,511.65,4760000,0.0038
2016-04-12,518.78,515.27,523.76,514.15,5150000,0.0068000000000000005
2016-04-13,528.02,521.33,529.93,521.33,7400000,0.0178
2016-04-18,527.38,527.9,528.39,522.74,8800000,-0.0012
2016-04-20,513.78,529.58,529.58,513.04,10010000,-0.0258
2016-04-21,515.69,515.81,521.06,512.64,5250000,0.0037
2016-04-22,514.6,514.62,518.83,509.82,5400000,-0.0021
2016-04-25,503.68,517.32,517.32,501.4,28220000,-0.0212
2016-04-26,503.7,502.93,507.14,499.02,12200000,0.0
2016-04-27,504.91,504.17,508.16,503.23,6690000,0.0024
2016-04-28,493.67,502.24,504.81,490.82,28590000,-0.0223
2016-04-29,486.74,492.06,494.59,484.83,10840000,-0.013999999999999999
2016-05-02,488.84,484.9,491.54,484.41,4900000,0.0043
2016-05-03,483.32,489.36,492.8,481.81,8109999,-0.0113
2016-05-04,484.46,482.45,487.23,481.93,6250000,0.0024
2016-05-05,483.05,485.4,487.11,480.89,10000000,-0.0029
2016-05-06,479.93,481.93,483.81,478.96,6810000,-0.006500000000000001
2016-05-09,486.93,482.92,488.37,481.83,7080000,0.0146
2016-05-10,486.66,486.93,487.73,484.41,3350000,-0.0006
2016-05-11,483.12,481.34,485.77,480.45,5690000,-0.0073
2016-05-12,491.74,483.42,492.43,482.95,5900000,0.0178
2016-05-13,484.48,489.83,490.62,482.92,6760000,-0.0148
2016-05-16,483.39,483.91,486.64,480.99,4300000,-0.0022
2016-05-17,480.02,485.52,486.93,478.64,5610000,-0.006999999999999999
2016-05-18,480.72,478.42,481.68,477.52,3800000,0.0015
2016-05-19,471.13,481.29,481.39,468.36,4220000,-0.0199
2016-05-20,462.71,471.53,472.77,461.3,8560000,-0.0179
2016-05-23,460.63,464.27,465.93,458.48,8480000,-0.0045000000000000005
2016-05-24,465.81,459.67,467.57,459.67,5670000,0.011200000000000002
2016-05-25,471.13,470.47,471.93,466.16,4260000,0.011399999999999999
2016-05-26,468.98,470.54,471.73,467.62,6550000,-0.0046
2016-05-27,482.77,470.07,483.86,469.92,6180000,0.0294
2016-05-30,479.8,483.62,486.14,477.97,4450000,-0.0062
2016-05-31,474.43,479.95,481.93,473.76,10770000,-0.011200000000000002
2016-06-01,472.32,474.48,478.51,471.43,4170000,-0.0044
2016-06-02,473.64,472.77,474.08,468.11,4730000,0.0028000000000000004
2016-06-03,475.32,475.49,476.93,473.44,3990000,0.0034999999999999996
2016-06-06,472.92,475.99,476.98,471.8,4000000,-0.005
2016-06-07,473.04,474.13,475.96,471.33,8750000,0.0003
2016-06-08,472.57,474.5,474.5,470.12,5600000,-0.001
2016-06-09,481.02,475.49,483.64,473.61,7220000,0.0179
2016-06-10,483.76,482.43,487.58,479.6,7530000,0.005699999999999999
2016-06-13,485.94,480.4,487.11,477.0,4710000,0.0045000000000000005
2016-06-14,483.54,485.87,488.07,480.1,5040000,-0.0049
2016-06-15,487.68,485.4,488.62,482.3,5140000,0.0086
2016-06-16,483.57,485.89,487.21,478.98,4330000,-0.0084
2016-06-17,482.87,483.91,484.73,480.5,4860000,-0.0014000000000000002
2016-06-20,490.45,481.51,491.64,479.46,4970000,0.015700000000000002
2016-06-21,488.92,492.38,492.41,485.25,6430000,-0.0031
2016-06-22,485.65,487.88,488.32,483.96,5900000,-0.0067
2016-06-23,485.62,485.37,486.39,480.45,4540000,-0.0001
