Date,Price,Open,High,Low,Volume,Chg%
2016-03-21,1199.22,1189.29,1203.48,1186.35,2340000,0.0084
2016-03-22,1212.38,1197.13,1218.21,1194.44,1950000,0.011000000000000001
2016-03-23,1212.72,1219.63,1219.63,1204.63,2280000,0.0003
2016-03-28,1212.53,1221.15,1233.97,1206.72,3320000,-0.0002
2016-03-29,1210.57,1214.78,1219.17,1203.51,1840000,-0.0016
2016-03-30,1220.42,1211.3,1228.02,1205.96,2140000,0.008100000000000001
2016-03-31,1235.52,1214.93,1250.08,1211.91,4360000,0.0124
2016-04-01,1202.97,1228.02,1235.79,1193.26,3040000,-0.0263
2016-04-04,1211.47,1204.0,1219.68,1199.58,1750000,0.0070999999999999995
2016-04-05,1207.31,1211.25,1218.16,1197.16,1490000,-0.0034000000000000002
2016-04-06,1216.69,1210.86,1220.17,1205.64,1760000,0.0078000000000000005
2016-04-07,1211.25,1215.76,1218.07,1204.49,2390000,-0.0045000000000000005
2016-04-08,1192.26,1208.9,1212.67,1189.78,1400000,-0.015700000000000002
2016-04-11,1228.83,1192.72,1233.9,1182.92,2400000,0.030699999999999998
2016-04-12,1234.46,1224.59,1237.82,1219.73,1300000,0.0046
2016-04-13,1238.41,1240.27,1247.63,1231.69,1600000,0.0032
2016-04-18,1235.25,1202.53,1251.79,1196.15,7120000,-0.0026
2016-04-20,1201.23,1242.68,1242.68,1196.15,6410000,-0.0275
2016-04-21,1188.51,1201.55,1209.58,1182.52,2530000,-0.0106
2016-04-22,1184.9,1185.86,1193.9,1178.6,1960000,-0.003
2016-04-25,1201.67,1177.67,1204.51,1177.67,2270000,0.014199999999999999
2016-04-26,1220.57,1200.56,1222.38,1197.13,2550000,0.015700000000000002
2016-04-27,1231.01,1215.76,1232.72,1213.75,1850000,0.0086
2016-04-28,1239.17,1226.2,1245.18,1224.63,4990000,0.0066
2016-04-29,1242.97,1233.9,1246.16,1230.47,2370000,0.0031
2016-05-02,1238.66,1239.78,1240.27,1225.57,1120000,-0.0034999999999999996
2016-05-03,1214.83,1237.82,1240.27,1211.84,2150000,-0.0192
2016-05-04,1214.78,1212.77,1222.65,1204.49,1360000,-0.0
2016-05-05,1211.01,1214.78,1220.64,1207.7,1250000,-0.0031
2016-05-06,1212.53,1208.41,1217.87,1191.74,885600,0.0013
2016-05-09,1231.72,1212.53,1234.39,1204.19,1820000,0.0158
2016-05-10,1236.79,1232.92,1242.21,1223.61,1160000,0.0040999999999999995
2016-05-11,1234.54,1225.57,1238.12,1220.66,1600000,-0.0018
2016-05-12,1258.02,1235.64,1259.83,1235.64,1510000,0.019
2016-05-13,1237.04,1257.43,1257.92,1230.54,1620000,-0.0167
2016-05-16,1250.64,1244.19,1257.33,1236.6,1110000,0.011000000000000001
2016-05-17,1259.98,1257.04,1270.3,1251.06,1760000,0.0075
2016-05-18,1250.62,1257.85,1257.85,1238.34,1500000,-0.0074
2016-05-19,1253.48,1252.53,1254.98,1238.36,1040000,0.0023
2016-05-20,1239.93,1246.3,1257.82,1236.74,1230000,-0.0108
2016-05-23,1221.37,1247.14,1248.07,1215.86,1530000,-0.015
2016-05-24,1209.73,1217.72,1219.81,1205.76,1340000,-0.0095
2016-05-25,1238.53,1216.25,1241.72,1216.25,1550000,0.023799999999999998
2016-05-26,1249.44,1240.27,1257.38,1228.07,1940000,0.0088
2016-05-27,1261.18,1251.62,1264.71,1250.37,1100000,0.009399999999999999
2016-05-30,1292.43,1266.26,1295.15,1265.76,1350000,0.0248
2016-05-31,1259.59,1294.2,1297.63,1255.96,3720000,-0.0254
2016-06-01,1291.04,1260.47,1296.65,1260.37,1910000,0.025
2016-06-02,1299.17,1274.59,1301.21,1274.59,1410000,0.0063
2016-06-03,1289.08,1299.79,1303.02,1284.64,1550000,-0.0078000000000000005
2016-06-06,1280.72,1284.64,1293.71,1276.16,1320000,-0.006500000000000001
2016-06-07,1289.86,1281.45,1293.71,1280.96,1200000,0.0070999999999999995
2016-06-08,1281.01,1283.05,1288.58,1277.29,938270,-0.0069
2016-06-09,1263.44,1285.57,1285.57,1252.63,1560000,-0.0137
2016-06-10,1252.9,1257.92,1276.18,1251.65,1400000,-0.0083
2016-06-13,1248.61,1245.18,1251.72,1234.39,1030000,-0.0034000000000000002
2016-06-14,1242.65,1254.47,1254.47,1234.51,977570,-0.0048
2016-06-15,1253.44,1240.27,1257.38,1236.35,1270000,0.0087
2016-06-16,1254.15,1247.9,1257.28,1233.63,1150000,0.0006
2016-06-17,1275.86,1254.49,1279.49,1254.49,1880000,0.0173
2016-06-20,1303.66,1275.86,1307.92,1270.57,1870000,0.0218
2016-06-21,1299.69,1305.72,1306.45,1294.88,1030000,-0.003
2016-06-22,1307.75,1299.1,1312.68,1290.15,1760000,0.0062
2016-06-23,1296.82,1301.55,1303.76,1286.99,1400000,-0.0084
2016-06-24,1261.82,1257.5,1271.26,1232.5,3770000,-0.027000000000000003
2016-06-27,1223.53,1248.61,1248.61,1217.06,4270000,-0.030299999999999997
2016-06-28,1207.89,1223.53,1226.99,1205.17,4500000,-0.0128
2016-06-29,1226.99,1213.31,1231.69,1208.56,2530000,0.0158
2016-06-30,1251.6,1236.35,1256.4,1225.74,5120000,0.020099999999999996
2016-07-01,1225.98,1255.96,1257.23,1222.8,2200000,-0.020499999999999997
2016-07-04,1222.72,1233.41,1238.24,1216.74,1880000,-0.0027
2016-07-05,1218.36,1222.72,1224.12,1214.36,1560000,-0.0036
2016-07-07,1191.15,1219.54,1221.57,1188.8,3320000,-0.0223
2016-07-08,1189.58,1193.7,1197.16,1178.26,2460000,-0.0013
2016-07-11,1207.99,1191.25,1211.74,1189.78,1540000,0.0155
2016-07-12,1208.38,1211.69,1213.31,1194.12,1470000,0.0003
2016-07-13,1222.18,1214.78,1225.2,1201.67,2100000,0.011399999999999999
2016-07-14,1236.3,1218.7,1239.78,1211.35,2700000,0.0116
2016-07-15,1198.78,1233.9,1239.19,1189.56,8340000,-0.030299999999999997
2016-07-18,1192.94,1199.58,1210.37,1191.54,2600000,-0.0049
2016-07-19,1209.0,1190.02,1212.23,1190.02,2360000,0.013500000000000002
2016-07-20,1223.09,1201.05,1226.79,1200.15,2820000,0.011699999999999999
2016-07-21,1228.53,1220.42,1235.13,1208.14,2530000,0.0044
2016-07-22,1232.97,1225.03,1237.33,1221.64,1520000,0.0036
2016-07-25,1254.47,1231.45,1256.55,1228.41,1690000,0.0174
2016-07-26,1251.35,1254.47,1258.9,1241.74,2310000,-0.0025
2016-07-27,1263.58,1252.53,1264.98,1247.63,1750000,0.0098
2016-07-28,1284.03,1265.03,1289.08,1263.34,4630000,0.016200000000000003
2016-07-29,1284.05,1281.45,1291.7,1274.1,2490000,0.0
2016-08-01,1327.66,1290.28,1335.87,1290.28,3960000,0.034
2016-08-02,1323.22,1325.03,1331.31,1318.61,2580000,-0.0033
2016-08-03,1302.19,1316.75,1323.12,1298.63,2290000,-0.0159
2016-08-04,1300.08,1308.9,1315.25,1292.36,1420000,-0.0016
2016-08-05,1298.66,1310.82,1315.91,1290.28,1870000,-0.0011
2016-08-08,1298.86,1294.2,1307.92,1288.83,2060000,0.0002
2016-08-09,1299.2,1303.02,1303.9,1264.22,2260000,0.0003
2016-08-10,1311.55,1299.59,1314.79,1298.12,2060000,0.0095
2016-08-11,1328.46,1306.72,1330.96,1306.72,2230000,0.0129
2016-08-12,1342.46,1326.06,1345.57,1324.62,2330000,0.0105
2016-08-16,1319.54,1342.24,1343.22,1310.79,3180000,-0.0171
2016-08-17,1286.62,1323.12,1323.12,1283.41,1850000,-0.024900000000000002
2016-08-18,1293.49,1291.75,1302.8,1289.34,1290000,0.0053
2016-08-19,1276.3,1294.2,1297.36,1274.59,2420000,-0.013300000000000001
2016-08-22,1249.44,1268.71,1271.87,1243.36,2270000,-0.021
2016-08-23,1275.1,1247.6,1277.02,1245.27,1500000,0.020499999999999997
2016-08-24,1260.89,1269.59,1275.57,1259.42,1120000,-0.0111
2016-08-25,1250.59,1264.78,1269.54,1238.31,1940000,-0.008199999999999999
2016-08-26,1237.8,1254.88,1261.13,1234.0,1250000,-0.0102
2016-08-29,1225.84,1242.7,1242.7,1209.27,1490000,-0.0097
2016-08-30,1247.21,1230.47,1249.98,1226.18,1440000,0.0174
2016-08-31,1231.11,1250.08,1250.08,1225.98,3230000,-0.0129
2016-09-01,1229.24,1237.77,1242.7,1219.22,1350000,-0.0015
2016-09-02,1232.82,1231.45,1235.08,1223.63,1740000,0.0029
2016-09-06,1217.75,1235.32,1235.44,1215.76,2240000,-0.012199999999999999
2016-09-07,1196.42,1225.42,1225.42,1187.82,3850000,-0.0175
2016-09-08,1138.35,1156.93,1156.93,1120.04,7020000,-0.048499999999999995
2016-09-09,1153.23,1142.08,1160.19,1137.35,2740000,0.0131
2016-09-12,1156.47,1145.66,1158.87,1139.29,2020000,0.0028000000000000004
2016-09-14,1141.47,1157.91,1165.56,1132.42,2069999,-0.013000000000000001
2016-09-15,1140.73,1147.11,1148.16,1135.73,2820000,-0.0006
2016-09-16,1157.77,1145.51,1164.78,1137.33,4360000,0.0149
2016-09-19,1182.16,1159.39,1189.78,1152.03,2800000,0.021099999999999997
2016-09-20,1179.73,1181.94,1184.83,1169.39,1180000,-0.0021
2016-09-21,1183.11,1180.32,1188.31,1176.89,1680000,0.0029
2016-09-22,1165.76,1188.92,1190.27,1162.38,2860000,-0.0147
2016-09-23,1175.61,1167.72,1178.43,1162.4,1800000,0.0084
2016-09-26,1177.08,1177.08,1185.91,1174.09,1750000,0.0013
2016-09-27,1194.24,1177.08,1200.07,1177.08,2040000,0.0146
2016-09-28,1187.84,1191.74,1194.93,1184.0,1730000,-0.0054
2016-09-29,1195.07,1193.7,1204.24,1186.15,3600000,0.0060999999999999995
2016-09-30,1191.64,1194.71,1200.96,1187.87,2180000,-0.0029
2016-10-03,1182.28,1201.05,1204.81,1177.08,1820000,-0.0079
2016-10-04,1179.07,1186.35,1188.82,1175.56,1780000,-0.0027
2016-10-05,1169.85,1180.47,1184.09,1164.83,1180000,-0.0078000000000000005
2016-10-06,1171.03,1174.09,1177.72,1163.18,2270000,0.001
2016-10-07,1160.76,1170.66,1170.66,1156.05,1820000,-0.0088
2016-10-10,1166.89,1161.79,1170.12,1154.51,1200000,0.0053
2016-10-13,1141.69,1158.55,1161.79,1137.77,5170000,-0.0216
2016-10-14,1159.97,1134.87,1170.17,1123.11,7740000,0.016
2016-10-17,1158.14,1161.3,1164.68,1149.29,2730000,-0.0016
2016-10-18,1176.64,1164.78,1184.24,1154.39,2130000,0.016
2016-10-19,1174.14,1177.03,1181.45,1161.98,1990000,-0.0021
2016-10-20,1177.11,1175.02,1181.13,1169.68,1270000,0.0025
2016-10-21,1190.59,1176.54,1192.18,1175.69,1260000,0.0115
2016-10-24,1190.12,1190.37,1193.65,1177.79,1250000,-0.0004
2016-10-25,1175.78,1178.99,1183.7,1167.23,1770000,-0.012
2016-10-26,1174.71,1175.86,1177.89,1163.06,1440000,-0.0009
2016-10-27,1185.42,1166.59,1191.01,1159.63,2940000,0.0091
2016-10-28,1175.91,1181.45,1183.95,1170.66,1750000,-0.008
2016-10-30,1172.16,1175.91,1180.93,1167.72,85350,-0.0032
2016-11-01,1152.03,1176.4,1176.4,1144.26,2930000,-0.0172
2016-11-02,1129.51,1147.62,1149.09,1125.07,2330000,-0.0195
2016-11-03,1137.06,1124.58,1144.68,1119.92,1460000,0.0067
2016-11-04,1142.5,1137.33,1145.24,1124.58,1180000,0.0048
2016-11-07,1116.27,1146.1,1149.53,1107.94,2049999,-0.023
2016-11-08,1119.29,1117.94,1130.95,1107.91,1930000,0.0027
2016-11-09,1063.72,1068.69,1115.27,1050.48,4500000,-0.0496
2016-11-10,1056.66,1080.85,1087.08,1049.48,2170000,-0.0066
2016-11-11,1030.04,1052.54,1052.54,1022.71,2400000,-0.0252
2016-11-15,1039.92,1037.76,1057.69,1005.9,6290000,0.0096
2016-11-16,1073.4,1051.58,1082.86,1048.1,4019999,0.0322
2016-11-17,1047.71,1071.14,1082.71,1044.26,2500000,-0.0239
2016-11-18,1041.78,1050.07,1053.99,1031.53,2140000,-0.005699999999999999
2016-11-21,1045.6,1042.32,1049.08,1031.93,1790000,0.0037
2016-11-22,1046.63,1045.16,1067.44,1040.29,1320000,0.001
2016-11-23,1057.1,1053.5,1060.34,1042.81,1280000,0.01
2016-11-24,1072.84,1056.39,1082.22,1047.61,3030000,0.0149
2016-11-25,1127.69,1084.38,1131.08,1074.67,4280000,0.051100000000000007
2016-11-28,1118.99,1124.58,1137.06,1103.94,1920000,-0.0077
2016-11-29,1107.84,1115.27,1123.6,1104.26,1440000,-0.01
2016-11-30,1115.78,1110.36,1124.95,1099.23,3450000,0.0072
2016-12-01,1109.6,1116.25,1122.62,1105.0,1120000,-0.0055000000000000005
