Date,Price,Open,High,Low,Volume,Chg%
2023-03-17,419.0,419.0,423.45,414.55,8660000,0.0079
2023-03-16,415.7,413.3,418.5,405.0,11850000,0.0106
2023-03-15,411.35,422.0,425.0,410.1,7680000,-0.0127
2023-03-14,416.65,422.85,424.2,413.4,9190000,-0.013600000000000001
2023-03-13,422.4,436.1,437.0,419.1,8780000,-0.030899999999999997
2023-03-10,435.85,433.0,437.8,430.8,10420000,0.0084
2023-03-09,432.2,439.1,442.05,431.3,5700000,-0.016200000000000003
2023-03-08,439.3,439.0,441.25,436.1,7850000,-0.0018
2023-03-06,440.1,430.95,441.45,430.0,11310000,0.028300000000000002
2023-03-03,428.0,422.6,430.5,421.95,8029999,0.018000000000000002
2023-03-02,420.45,426.0,426.25,419.55,5660000,-0.013000000000000001
2023-03-01,426.0,421.5,428.0,421.5,7600000,0.0126
2023-02-28,420.7,419.0,424.8,419.0,9650000,0.0066
2023-02-27,417.95,427.75,428.05,413.05,10440000,-0.0229
2023-02-24,427.75,435.4,436.7,427.0,7900000,-0.0126
2023-02-23,433.2,428.65,436.45,427.2,9280000,0.0087
2023-02-22,429.45,435.3,435.85,428.25,7210000,-0.016200000000000003
2023-02-21,436.5,445.2,445.2,435.25,8960000,-0.0147
2023-02-20,443.0,441.8,445.3,436.25,9720000,0.006999999999999999
2023-02-17,439.9,436.0,442.45,436.0,6960000,-0.0038
2023-02-16,441.6,445.0,448.25,440.5,7670000,-0.005699999999999999
2023-02-15,444.15,438.5,444.9,438.15,9860000,0.008199999999999999
2023-02-14,440.55,442.0,444.3,434.4,8570000,-0.0011
2023-02-13,441.05,445.5,446.9,438.9,8330000,-0.0108
2023-02-10,445.85,437.95,447.8,431.2,14800000,0.0208
2023-02-09,436.75,440.0,440.7,433.55,7350000,-0.0076
2023-02-08,440.1,435.45,441.0,431.55,8670000,0.010700000000000001
2023-02-07,435.45,441.7,443.4,432.9,9020000,-0.0148
2023-02-06,442.0,444.45,447.0,439.55,6800000,-0.0077
2023-02-03,445.45,447.0,450.8,442.35,13070000,0.0015
2023-02-02,444.8,446.75,449.2,440.7,11340000,-0.0040999999999999995
2023-02-01,446.65,456.8,461.5,437.65,23800000,-0.0121
2023-01-31,452.1,443.7,454.8,440.9,25150000,0.019
2023-01-30,443.65,445.6,450.0,437.65,18320000,-0.0044
2023-01-27,445.6,438.0,453.4,435.15,63360000,0.0634
2023-01-25,419.05,423.75,427.25,417.7,22980000,-0.0073
2023-01-24,422.15,410.0,424.0,410.0,30200000,0.0337
2023-01-23,408.4,407.0,410.95,405.0,13110000,0.013000000000000001
2023-01-20,403.15,404.0,412.5,401.2,23910000,0.006
2023-01-19,400.75,406.5,407.8,400.1,13130000,-0.0187
2023-01-18,408.4,415.9,415.95,407.45,13310000,-0.0166
2023-01-17,415.3,413.0,419.45,412.5,12340000,0.005600000000000001
2023-01-16,413.0,413.5,414.9,407.6,11460000,0.0036
2023-01-13,411.5,413.0,416.35,408.0,10450000,-0.0018
2023-01-12,412.25,420.3,420.5,410.05,12480000,-0.014199999999999999
2023-01-11,418.2,415.75,420.0,413.55,22220000,0.0128
2023-01-10,412.9,400.0,417.75,400.0,54020000,0.0602
2023-01-09,389.45,386.35,392.7,385.0,14690000,0.0195
2023-01-06,382.0,386.1,388.4,381.0,8720000,-0.0127
2023-01-05,386.9,387.9,388.75,382.5,10440000,0.0034000000000000002
2023-01-04,385.6,394.8,394.8,385.0,16120000,-0.021099999999999997
2023-01-03,393.9,396.0,398.35,393.0,9430000,-0.0023
2023-01-02,394.8,392.5,396.0,391.0,10500000,0.0177
2022-12-30,387.95,391.0,392.2,387.0,9200000,0.0053
2022-12-29,385.9,389.0,390.0,383.05,15630000,-0.0138
2022-12-28,391.3,394.0,395.9,390.4,8440000,-0.0072
2022-12-27,394.15,390.0,397.45,388.5,14370000,0.024300000000000002
2022-12-26,384.8,380.25,390.7,375.2,16980000,0.017
2022-12-23,378.35,390.0,390.0,377.0,19900000,-0.0408
2022-12-22,394.45,404.1,404.7,390.2,14910000,-0.0202
2022-12-21,402.6,412.6,414.4,401.0,11610000,-0.0192
2022-12-20,410.5,418.0,418.0,408.0,12340000,-0.0179
2022-12-19,418.0,421.9,422.85,415.5,9810000,-0.0085
2022-12-16,421.6,417.35,427.8,413.1,50950000,0.0118
2022-12-15,416.7,418.85,422.8,415.7,7540000,-0.0029
2022-12-14,417.9,420.55,421.35,417.35,6310000,-0.0014000000000000002
2022-12-13,418.5,419.95,421.5,417.25,9720000,0.0105
2022-12-12,414.15,412.0,416.9,408.0,8010000,0.0021
2022-12-09,413.3,419.3,420.95,409.55,9920000,-0.009300000000000001
2022-12-08,417.2,421.0,421.4,415.35,9540000,-0.0069
2022-12-07,420.1,428.0,428.0,419.1,12130000,-0.016399999999999998
2022-12-06,427.1,428.8,431.35,425.35,8460000,-0.0038
2022-12-05,428.75,435.5,437.5,427.8,12860000,-0.015300000000000001
2022-12-02,435.4,439.0,441.15,435.0,8350000,-0.006500000000000001
2022-12-01,438.25,443.0,443.6,436.85,8910000,-0.0026
2022-11-30,439.4,435.0,441.0,433.3,14730000,0.0144
2022-11-29,433.15,432.5,437.9,429.55,8630000,-0.0002
2022-11-28,433.25,435.0,440.35,432.4,10700000,0.0001
2022-11-25,433.2,425.0,435.15,424.0,18760000,0.0231
2022-11-24,423.4,424.5,425.25,420.7,6770000,-0.0015
2022-11-23,424.05,426.85,429.3,422.85,6570000,-0.0015
2022-11-22,424.7,421.0,426.4,420.5,6410000,0.0085
2022-11-21,421.1,425.6,427.6,420.0,9500000,-0.0064
2022-11-18,423.8,424.0,426.45,421.15,9850000,0.0015
2022-11-17,423.15,422.0,427.55,419.6,15620000,-0.0195
2022-11-16,431.55,436.95,438.2,429.6,8210000,-0.0128
2022-11-15,437.15,434.9,438.5,434.1,10700000,0.008
2022-11-14,433.7,424.0,437.7,423.5,18000000,0.0241
2022-11-11,423.5,420.0,425.5,414.7,19300000,0.0274
2022-11-10,412.2,420.5,420.55,409.2,26250000,-0.0484
2022-11-09,433.15,439.2,441.2,432.0,14470000,-0.0043
2022-11-07,435.0,428.25,437.5,428.25,15060000,0.0227
2022-11-04,425.35,418.2,426.0,416.9,12280000,0.0219
2022-11-03,416.25,419.4,423.3,414.5,10990000,-0.013999999999999999
2022-11-02,422.15,423.05,425.1,420.15,12430000,0.0019
2022-11-01,421.35,414.9,422.4,412.8,17320000,0.0208
