,Date,Price,Open,High,Low,Volume,Chg%
0,"Mar 17, 2023",4362.55,4325.95,4370.0,4305.6,294.95K,1.19%
1,"Mar 16, 2023",4311.2,4263.95,4320.0,4250.0,260.04K,1.60%
2,"Mar 15, 2023",4243.1,4315.0,4323.65,4237.6,195.19K,-1.16%
3,"Mar 14, 2023",4292.95,4315.0,4343.9,4277.0,198.00K,-0.34%
4,"Mar 13, 2023",4307.6,4309.0,4346.05,4290.0,282.67K,-0.08%
5,"Mar 10, 2023",4311.0,4307.4,4361.75,4282.75,367.08K,0.45%
6,"Mar 09, 2023",4291.7,4339.65,4350.0,4275.2,242.65K,-1.10%
7,"Mar 08, 2023",4339.65,4319.85,4370.0,4305.75,228.63K,0.46%
8,"Mar 06, 2023",4319.85,4389.0,4389.0,4279.9,681.56K,-2.09%
9,"Mar 03, 2023",4411.95,4400.0,4444.75,4380.4,212.20K,0.40%
10,"Mar 02, 2023",4394.2,4390.0,4405.0,4343.05,147.03K,0.33%
11,"Mar 01, 2023",4379.8,4439.0,4454.55,4355.15,331.09K,-1.84%
12,"Feb 28, 2023",4461.75,4390.0,4475.25,4380.0,349.28K,1.67%
13,"Feb 27, 2023",4388.25,4428.55,4470.0,4375.0,162.72K,-1.22%
14,"Feb 24, 2023",4442.55,4460.0,4495.55,4419.65,234.46K,-0.20%
15,"Feb 23, 2023",4451.5,4490.0,4496.0,4424.8,210.03K,-0.74%
16,"Feb 22, 2023",4484.5,4505.0,4540.9,4477.7,262.92K,-0.42%
17,"Feb 21, 2023",4503.35,4454.95,4527.85,4450.6,229.38K,1.11%
18,"Feb 20, 2023",4453.8,4535.25,4545.0,4444.0,308.68K,-1.75%
19,"Feb 17, 2023",4533.25,4570.0,4588.0,4514.8,203.46K,-0.85%
20,"Feb 16, 2023",4572.0,4597.0,4617.9,4567.0,160.31K,-0.36%
21,"Feb 15, 2023",4588.45,4599.85,4599.85,4530.2,197.82K,-0.25%
22,"Feb 14, 2023",4599.85,4590.3,4624.0,4581.0,245.50K,0.26%
23,"Feb 13, 2023",4588.0,4600.0,4636.0,4579.0,185.54K,-0.75%
24,"Feb 10, 2023",4622.7,4660.0,4669.2,4597.05,207.92K,-0.32%
25,"Feb 09, 2023",4637.35,4594.85,4656.1,4575.15,284.42K,0.93%
26,"Feb 08, 2023",4594.8,4604.95,4640.25,4578.0,252.71K,-0.26%
27,"Feb 07, 2023",4606.85,4639.0,4664.0,4596.7,327.04K,-0.41%
28,"Feb 06, 2023",4625.65,4605.0,4635.3,4600.0,315.19K,-0.07%
29,"Feb 03, 2023",4628.85,4590.0,4659.75,4570.1,517.47K,1.22%
30,"Feb 02, 2023",4573.05,4518.95,4596.0,4370.0,1.67M,4.62%
31,"Feb 01, 2023 E",4370.95,4329.9,4444.5,4326.85,622.54K,1.24%
32,"Jan 31, 2023",4317.6,4418.0,4418.0,4264.0,605.70K,-2.02%
33,"Jan 30, 2023",4406.75,4396.5,4418.0,4320.0,218.72K,0.60%
34,"Jan 27, 2023",4380.4,4435.0,4439.0,4353.8,340.48K,-0.18%
35,"Jan 25, 2023",4388.15,4384.0,4444.0,4360.0,288.09K,-0.18%
36,"Jan 24, 2023",4396.05,4350.8,4408.95,4323.2,135.59K,1.34%
37,"Jan 23, 2023",4337.85,4330.0,4357.45,4319.15,119.14K,0.44%
38,"Jan 20, 2023",4318.95,4362.0,4362.0,4312.85,154.49K,-1.22%
39,"Jan 19, 2023",4372.4,4379.8,4399.95,4357.1,139.43K,-0.48%
40,"Jan 18, 2023",4393.7,4360.0,4422.0,4355.55,192.86K,0.73%
41,"Jan 17, 2023",4362.05,4309.0,4372.95,4291.75,169.80K,1.22%
42,"Jan 16, 2023",4309.6,4336.1,4346.45,4300.0,84.81K,-0.61%
43,"Jan 13, 2023",4336.1,4304.0,4370.7,4287.45,183.77K,0.86%
44,"Jan 12, 2023",4299.25,4319.3,4340.9,4284.0,248.08K,-0.35%
45,"Jan 11, 2023",4314.3,4326.0,4358.65,4298.0,224.67K,-0.29%
46,"Jan 10, 2023",4326.85,4360.0,4363.0,4317.3,235.45K,-0.86%
47,"Jan 09, 2023",4364.3,4380.0,4387.9,4336.2,170.11K,0.12%
48,"Jan 06, 2023",4359.05,4313.2,4369.0,4310.0,297.44K,1.06%
49,"Jan 05, 2023",4313.2,4235.0,4387.0,4235.0,686.63K,1.85%
50,"Jan 04, 2023",4235.0,4254.95,4276.0,4216.35,216.32K,-0.16%
51,"Jan 03, 2023",4241.85,4255.1,4295.65,4206.3,496.98K,-1.17%
52,"Jan 02, 2023",4292.15,4379.95,4379.95,4275.1,255.31K,-0.36%
53,"Dec 30, 2022",4307.45,4355.2,4374.95,4298.55,117.75K,-0.94%
54,"Dec 29, 2022",4348.3,4375.0,4389.75,4296.55,244.63K,-0.86%
55,"Dec 28, 2022",4385.95,4362.0,4407.45,4362.0,159.25K,0.38%
56,"Dec 27, 2022",4369.25,4380.7,4400.0,4350.0,138.09K,-0.14%
57,"Dec 26, 2022",4375.35,4315.5,4399.9,4313.8,166.69K,1.00%
58,"Dec 23, 2022",4331.9,4375.15,4398.95,4324.1,224.22K,-1.36%
59,"Dec 22, 2022",4391.45,4444.0,4446.35,4377.0,243.33K,-0.62%
60,"Dec 21, 2022",4418.85,4509.05,4530.0,4406.15,303.23K,-2.00%
61,"Dec 20, 2022",4509.05,4529.0,4533.95,4467.05,206.83K,-0.39%
62,"Dec 19, 2022",4526.5,4455.0,4537.0,4423.5,330.66K,1.84%
63,"Dec 16, 2022",4444.7,4459.5,4477.15,4416.7,346.51K,-0.46%
64,"Dec 15, 2022",4465.45,4428.3,4485.0,4412.0,370.50K,1.26%
65,"Dec 14, 2022",4409.7,4440.0,4446.0,4390.1,195.65K,-0.38%
66,"Dec 13, 2022",4426.55,4452.0,4452.0,4410.0,158.17K,-0.14%
67,"Dec 12, 2022",4432.55,4419.05,4439.05,4384.0,233.36K,0.50%
68,"Dec 09, 2022",4410.3,4402.0,4426.4,4384.2,233.44K,0.35%
69,"Dec 08, 2022",4394.9,4393.55,4442.65,4384.2,282.42K,0.03%
70,"Dec 07, 2022",4393.55,4424.35,4435.0,4383.35,252.29K,-0.70%
71,"Dec 06, 2022",4424.35,4398.9,4451.65,4382.05,349.35K,0.48%
72,"Dec 05, 2022",4403.35,4422.85,4427.65,4370.0,212.91K,-0.67%
73,"Dec 02, 2022",4432.9,4400.0,4444.05,4380.3,530.33K,0.72%
74,"Dec 01, 2022",4401.25,4364.55,4410.5,4335.35,501.70K,0.89%
75,"Nov 30, 2022",4362.3,4297.95,4387.9,4290.05,1.10M,1.80%
76,"Nov 29, 2022",4285.35,4225.0,4302.0,4225.0,598.88K,1.72%
77,"Nov 28, 2022",4213.05,4168.85,4229.3,4161.0,222.79K,0.70%
78,"Nov 25, 2022",4183.7,4212.0,4212.0,4148.3,244.02K,-0.18%
79,"Nov 24, 2022",4191.2,4172.0,4209.55,4155.15,231.52K,0.87%
80,"Nov 23, 2022",4155.15,4160.0,4194.05,4139.5,247.44K,-0.06%
81,"Nov 22, 2022",4157.6,4133.95,4164.25,4107.6,319.39K,0.91%
82,"Nov 21, 2022",4120.05,4118.0,4149.0,4095.1,288.52K,0.34%
