,Date,Price,Open,High,Low,Volume,Chg%
0,"Mar 17, 2023",375.55,385.0,385.0,369.65,48.90M,-1.55%
1,"Mar 16, 2023",381.45,380.6,382.35,376.85,15.71M,0.54%
2,"Mar 15, 2023",379.4,381.0,384.3,378.0,8.42M,-0.08%
3,"Mar 14, 2023",379.7,385.7,386.45,377.2,10.23M,-1.03%
4,"Mar 13, 2023",383.65,389.2,390.9,382.5,8.79M,-1.12%
5,"Mar 10, 2023",388.0,386.95,390.2,383.5,8.36M,0.13%
6,"Mar 09, 2023",387.5,392.1,393.6,385.65,9.63M,-1.25%
7,"Mar 08, 2023",392.4,388.0,393.15,385.1,8.92M,1.09%
8,"Mar 06, 2023",388.15,385.9,392.5,385.25,10.71M,0.83%
9,"Mar 03, 2023",384.95,377.0,385.4,376.1,8.18M,2.50%
10,"Mar 02, 2023",375.55,379.5,379.75,374.7,5.02M,-0.83%
11,"Mar 01, 2023",378.7,374.25,380.4,373.6,7.77M,0.53%
12,"Feb 28, 2023",376.7,382.5,384.25,375.0,16.37M,-1.44%
13,"Feb 27, 2023",382.2,385.1,386.8,378.1,8.14M,-0.75%
14,"Feb 24, 2023",385.1,389.0,389.0,381.0,12.91M,-0.64%
15,"Feb 23, 2023",387.6,384.45,394.0,383.1,18.83M,0.98%
16,"Feb 22, 2023",383.85,382.0,384.9,380.0,8.96M,0.42%
17,"Feb 21, 2023",382.25,385.0,385.9,381.7,8.26M,-0.47%
18,"Feb 20, 2023",384.05,384.7,387.5,381.3,7.80M,0.17%
19,"Feb 17, 2023",383.4,381.05,384.55,379.25,7.67M,0.22%
20,"Feb 16, 2023",382.55,382.0,385.25,381.0,9.78M,0.09%
21,"Feb 15, 2023 D",382.2,381.75,382.85,378.55,12.21M,-1.10%
22,"Feb 14, 2023",386.45,375.0,387.65,373.75,29.13M,3.27%
23,"Feb 13, 2023",374.2,373.0,375.15,370.0,9.90M,0.77%
24,"Feb 10, 2023",371.35,372.2,376.95,370.3,10.28M,-0.77%
25,"Feb 09, 2023",374.25,374.0,380.0,372.15,11.86M,-0.35%
26,"Feb 08, 2023",375.55,374.75,377.3,371.55,10.42M,0.62%
27,"Feb 07, 2023",373.25,383.9,383.9,368.45,20.64M,-2.65%
28,"Feb 06, 2023",383.4,382.5,388.2,379.6,25.79M,0.72%
29,"Feb 03, 2023 E",380.65,381.9,382.25,372.0,22.30M,0.54%
30,"Feb 02, 2023",378.6,361.6,384.7,360.4,55.75M,4.76%
31,"Feb 01, 2023",361.4,353.0,365.7,329.1,64.52M,2.57%
32,"Jan 31, 2023",352.35,346.0,355.0,341.05,17.13M,2.19%
33,"Jan 30, 2023",344.8,346.9,351.75,341.85,14.09M,-0.35%
34,"Jan 27, 2023",346.0,341.8,348.85,341.5,21.04M,1.99%
35,"Jan 25, 2023",339.25,338.9,341.0,335.25,12.50M,0.09%
36,"Jan 24, 2023",338.95,337.8,340.75,337.6,12.30M,0.36%
37,"Jan 23, 2023",337.75,336.0,338.15,333.05,7.12M,0.94%
38,"Jan 20, 2023",334.6,332.0,335.2,329.25,13.10M,0.74%
39,"Jan 19, 2023",332.15,334.0,335.65,331.65,8.35M,-0.75%
40,"Jan 18, 2023",334.65,334.0,336.55,332.4,12.56M,0.72%
41,"Jan 17, 2023",332.25,330.2,333.5,329.1,13.71M,0.62%
42,"Jan 16, 2023",330.2,330.35,332.2,327.55,8.25M,0.44%
43,"Jan 13, 2023",328.75,329.85,332.25,326.4,14.41M,-0.33%
44,"Jan 12, 2023",329.85,333.4,333.6,328.1,6.64M,-0.59%
45,"Jan 11, 2023",331.8,335.1,335.1,331.3,4.58M,-0.48%
46,"Jan 10, 2023",333.4,337.9,338.4,332.55,6.95M,-1.38%
47,"Jan 09, 2023",338.05,336.95,341.3,336.15,10.62M,0.90%
48,"Jan 06, 2023",335.05,334.7,337.55,333.1,8.28M,0.48%
49,"Jan 05, 2023",333.45,328.65,333.9,328.2,8.17M,1.97%
50,"Jan 04, 2023",327.0,331.85,332.5,326.0,6.69M,-1.24%
51,"Jan 03, 2023",331.1,331.5,333.35,330.25,6.00M,-0.53%
52,"Jan 02, 2023",332.85,330.9,334.0,329.65,5.95M,0.39%
53,"Dec 30, 2022",331.55,335.4,336.75,330.5,6.96M,-1.13%
54,"Dec 29, 2022",335.35,334.35,335.75,331.55,8.11M,0.28%
55,"Dec 28, 2022",334.4,332.85,335.0,331.5,7.74M,0.38%
56,"Dec 27, 2022",333.15,335.6,336.4,330.15,6.73M,-0.43%
57,"Dec 26, 2022",334.6,326.5,335.1,325.5,9.57M,2.42%
