,Date,Price,Open,High,Low,Volume,Chg%
0,"Mar 17, 2023",2223.1,2244.75,2251.95,2212.7,15.70M,-0.13%
1,"Mar 16, 2023",2225.9,2243.0,2254.0,2202.2,8.47M,-0.50%
2,"Mar 15, 2023",2237.05,2284.1,2298.3,2227.4,10.03M,-1.71%
3,"Mar 14, 2023",2275.95,2280.0,2304.95,2269.05,7.40M,-0.37%
4,"Mar 13, 2023",2284.5,2329.0,2344.0,2275.0,5.89M,-1.64%
5,"Mar 10, 2023",2322.7,2341.5,2344.0,2315.05,6.15M,-1.55%
6,"Mar 09, 2023",2359.25,2416.0,2416.9,2355.1,7.49M,-2.40%
7,"Mar 08, 2023",2417.35,2408.7,2419.0,2385.0,7.28M,0.36%
8,"Mar 06, 2023",2408.7,2400.0,2424.6,2400.0,4.69M,0.98%
9,"Mar 03, 2023",2385.4,2349.15,2393.45,2341.55,6.76M,2.55%
10,"Mar 02, 2023",2326.05,2337.0,2351.65,2321.6,4.31M,-0.76%
11,"Mar 01, 2023",2343.9,2344.0,2345.5,2323.25,5.33M,0.92%
12,"Feb 28, 2023",2322.55,2356.1,2367.0,2313.65,10.15M,-1.91%
13,"Feb 27, 2023",2367.85,2382.0,2389.65,2351.7,5.17M,-0.66%
14,"Feb 24, 2023",2383.7,2372.0,2396.15,2368.0,4.35M,0.68%
15,"Feb 23, 2023",2367.5,2378.0,2394.75,2361.35,4.55M,-0.48%
16,"Feb 22, 2023",2378.9,2425.95,2430.0,2375.05,5.09M,-2.27%
17,"Feb 21, 2023",2434.1,2424.0,2446.8,2412.35,6.14M,0.82%
18,"Feb 20, 2023",2414.4,2445.0,2449.75,2410.1,4.08M,-1.06%
19,"Feb 17, 2023",2440.2,2420.0,2447.5,2410.6,5.45M,0.42%
20,"Feb 16, 2023",2430.05,2449.45,2463.8,2425.05,7.97M,-0.08%
21,"Feb 15, 2023",2431.95,2376.0,2437.2,2373.0,15.46M,2.26%
22,"Feb 14, 2023",2378.1,2329.95,2381.9,2323.65,6.61M,2.36%
23,"Feb 13, 2023",2323.35,2340.2,2350.0,2313.55,4.78M,-0.57%
24,"Feb 10, 2023",2336.65,2354.9,2354.9,2321.3,4.98M,-0.82%
25,"Feb 09, 2023",2356.05,2353.45,2370.85,2334.0,6.08M,0.17%
26,"Feb 08, 2023",2351.95,2313.0,2359.9,2307.0,9.77M,2.00%
27,"Feb 07, 2023",2305.9,2312.0,2327.4,2293.0,6.99M,-0.24%
28,"Feb 06, 2023",2311.45,2315.0,2321.0,2305.8,6.85M,-0.75%
29,"Feb 03, 2023",2329.0,2349.0,2349.0,2293.0,11.40M,0.09%
