Date,Low,Volume,Price,Chg%,High,Open
2016-03-21,1345.5,198830,1367.47,0.0183,1374.5,1345.5
2016-03-22,1362.5,241610,1375.75,0.0060999999999999,1389.95,1368.0
2016-03-23,1352.65,216970,1362.65,-0.0095,1381.05,1377.58
2016-03-28,1300.62,564340,1312.8,-0.0366,1380.0,1372.78
2016-03-29,1259.53,391990,1291.58,-0.0162,1312.5,1307.5
2016-03-30,1295.08,523350,1319.25,0.0214,1324.5,1309.75
2016-03-31,1307.75,692930,1343.25,0.0182,1352.45,1312.7
2016-04-01,1330.75,353070,1339.53,-0.0028,1358.95,1330.75
2016-04-04,1325.0,368800,1329.6,-0.0074,1351.78,1350.0
2016-04-05,1303.58,428200,1320.67,-0.0067,1328.12,1325.0
2016-04-06,1320.67,967300,1353.6,0.0249,1361.97,1320.67
2016-04-07,1339.55,204210,1350.58,-0.0022,1360.53,1355.05
2016-04-08,1340.55,276710,1343.4,-0.0053,1357.75,1345.5
2016-04-11,1322.5,430040,1328.47,-0.0111,1353.83,1348.4
2016-04-12,1325.1,705890,1352.88,0.0184,1369.2,1342.5
2016-04-13,1354.3,520830,1380.55,0.0204999999999999,1392.5,1354.3
2016-04-18,1385.25,617240,1425.33,0.0324,1428.0,1385.25
2016-04-20,1413.75,626890,1422.65,-0.0019,1443.92,1422.5
2016-04-21,1390.0,355370,1393.92,-0.0202,1435.0,1423.85
2016-04-22,1394.38,289740,1411.3,0.0125,1415.0,1396.5
2016-04-25,1400.0,342510,1408.55,-0.0019,1418.5,1406.5
2016-04-26,1398.1,271580,1418.65,0.0072,1424.0,1410.03
2016-04-27,1415.3,334870,1430.7,0.0085,1437.97,1415.3
2016-04-28,1406.0,808750,1412.78,-0.0125,1459.0,1437.5
2016-04-29,1413.0,282590,1431.3,0.0131,1448.0,1413.5
2016-05-02,1417.5,148640,1429.2,-0.0015,1435.97,1428.0
2016-05-03,1417.5,439890,1423.55,-0.004,1449.95,1430.7
2016-05-04,1401.97,228920,1408.88,-0.0103,1428.95,1423.5
2016-05-05,1405.05,113140,1410.72,0.0013,1426.0,1408.5
2016-05-06,1406.0,127560,1408.65,-0.0015,1423.5,1414.0
2016-05-09,1400.0,560450,1406.88,-0.0013,1419.5,1419.5
2016-05-10,1407.55,231400,1410.45,0.0025,1431.5,1407.55
2016-05-11,1395.47,196200,1423.72,0.0093999999999999,1429.45,1405.0
2016-05-12,1420.0,519270,1468.22,0.0313,1475.0,1433.5
2016-05-13,1462.8,539450,1477.0,0.006,1488.5,1467.5
2016-05-16,1451.6,292500,1467.78,-0.0062,1489.47,1482.0
2016-05-17,1471.1,471340,1502.83,0.0239,1508.95,1471.1
2016-05-18,1484.0,362640,1485.8,-0.0113,1502.0,1501.97
2016-05-19,1488.05,313490,1497.97,0.0081999999999999,1507.5,1489.97
2016-05-20,1455.0,404470,1465.35,-0.0218,1517.53,1504.95
2016-05-23,1330.5,1520000,1341.25,-0.0847,1425.0,1425.0
2016-05-24,1305.0,1130000,1327.03,-0.0106,1375.0,1341.25
2016-05-25,1328.75,708390,1375.72,0.0366999999999999,1382.5,1330.35
2016-05-26,1364.03,719340,1372.2,-0.0026,1397.5,1378.4
2016-05-27,1350.55,1030000,1359.65,-0.0091,1380.92,1379.5
2016-05-30,1360.0,221880,1373.03,0.0098,1379.0,1360.0
2016-05-31,1345.47,548770,1353.1,-0.0144999999999999,1379.5,1374.0
2016-06-01,1362.6,961920,1382.55,0.0218,1396.2,1370.0
2016-06-02,1380.28,372480,1399.75,0.0124,1411.15,1384.97
2016-06-03,1378.03,333630,1381.67,-0.0129,1402.3,1400.0
2016-06-06,1367.58,204050,1386.92,0.0038,1394.25,1382.5
2016-06-07,1388.5,803050,1397.58,0.0077,1405.0,1388.5
2016-06-08,1380.03,260920,1385.2,-0.0089,1403.5,1390.08
2016-06-09,1376.03,394970,1380.62,-0.0033,1397.75,1385.0
2016-06-10,1362.03,184010,1364.62,-0.0116,1387.0,1387.0
2016-06-13,1330.0,222100,1339.1,-0.0187,1358.0,1358.0
2016-06-14,1333.75,216540,1340.58,0.0011,1348.25,1338.0
2016-06-15,1335.62,219820,1341.3,0.0005,1349.5,1349.5
