Date,Symbol,Price,Chg%,High,Low,Open,Volume
2016-03-21,tcs,1199.22,0.0084,1203.48,1186.35,1189.29,2340000
2016-03-22,tcs,1212.38,0.011,1218.21,1194.44,1197.13,1950000
2016-03-23,tcs,1212.72,0.0003,1219.63,1204.63,1219.63,2280000
2016-03-28,tcs,1212.53,-0.0002,1233.97,1206.72,1221.15,3320000
2016-03-29,tcs,1210.57,-0.0016,1219.17,1203.51,1214.78,1840000
2016-03-30,tcs,1220.42,0.0081,1228.02,1205.96,1211.3,2140000
2016-03-31,tcs,1235.52,0.0124,1250.08,1211.91,1214.93,4360000
2016-04-01,tcs,1202.97,-0.0263,1235.79,1193.26,1228.02,3040000
2016-04-04,tcs,1211.47,0.0070999999999999,1219.68,1199.58,1204.0,1750000
2016-04-05,tcs,1207.31,-0.0034,1218.16,1197.16,1211.25,1490000
2016-04-06,tcs,1216.69,0.0078,1220.17,1205.64,1210.86,1760000
2016-04-07,tcs,1211.25,-0.0045,1218.07,1204.49,1215.76,2390000
2016-04-08,tcs,1192.26,-0.0157,1212.67,1189.78,1208.9,1400000
2016-04-11,tcs,1228.83,0.0306999999999999,1233.9,1182.92,1192.72,2400000
2016-04-12,tcs,1234.46,0.0046,1237.82,1219.73,1224.59,1300000
2016-04-13,tcs,1238.41,0.0032,1247.63,1231.69,1240.27,1600000
2016-04-18,tcs,1235.25,-0.0026,1251.79,1196.15,1202.53,7120000
2016-04-20,tcs,1201.23,-0.0275,1242.68,1196.15,1242.68,6410000
2016-04-21,tcs,1188.51,-0.0106,1209.58,1182.52,1201.55,2530000
2016-04-22,tcs,1184.9,-0.003,1193.9,1178.6,1185.86,1960000
2016-04-25,tcs,1201.67,0.0141999999999999,1204.51,1177.67,1177.67,2270000
2016-04-26,tcs,1220.57,0.0157,1222.38,1197.13,1200.56,2550000
2016-04-27,tcs,1231.01,0.0086,1232.72,1213.75,1215.76,1850000
2016-04-28,tcs,1239.17,0.0066,1245.18,1224.63,1226.2,4990000
2016-04-29,tcs,1242.97,0.0031,1246.16,1230.47,1233.9,2370000
2016-05-02,tcs,1238.66,-0.0034999999999999,1240.27,1225.57,1239.78,1120000
2016-05-03,tcs,1214.83,-0.0192,1240.27,1211.84,1237.82,2150000
2016-05-04,tcs,1214.78,-0.0,1222.65,1204.49,1212.77,1360000
2016-05-05,tcs,1211.01,-0.0031,1220.64,1207.7,1214.78,1250000
2016-05-06,tcs,1212.53,0.0013,1217.87,1191.74,1208.41,885600
2016-05-09,tcs,1231.72,0.0158,1234.39,1204.19,1212.53,1820000
2016-05-10,tcs,1236.79,0.0040999999999999,1242.21,1223.61,1232.92,1160000
2016-05-11,tcs,1234.54,-0.0018,1238.12,1220.66,1225.57,1600000
2016-05-12,tcs,1258.02,0.019,1259.83,1235.64,1235.64,1510000
2016-05-13,tcs,1237.04,-0.0167,1257.92,1230.54,1257.43,1620000
